序号,Volume,Area,max_temp_z,Length1,Length2,Length3,Pra,Prb,Pouter_radius,Pinner_radius,Parea,Pcircularity,Pcompactness,Pcontlength,Pconvexity,Prectangularity,Pphi,Panisometry,Pbulkiness,Pinner_width,Pinner_height,Pdist_mean,Pmax_diameter,Porientation,Prect2_len1,Prect2_len2,Pmoments_m11,Pmoments_m20,Pmoments_m02,Pmoments_ia,Pmoments_ib,Pmoments_m11_invar,Pmoments_m20_invar,Pmoments_m02_invar,Pmoments_phi1,Pmoments_phi2,Pmoments_m21,Pmoments_m12,Pmoments_m03,Pmoments_m30,Pmoments_m21_invar,Pmoments_m12_invar,Pmoments_m03_invar,Pmoments_m30_invar,Pmoments_i1,Pmoments_i2,Pmoments_i3,Pmoments_i4,Pmoments_psi1,Pmoments_psi2,Pmoments_psi3,Pmoments_psi4,质量,人工测量：长,人工测量：高,分档,宽1,宽2,宽3,人工测量：宽,边1,边2,边3,备注
4817,47.1814,82.3963,6.54841,7.41347,4.68527,2.86312,4.54035,2.74395,4.53113,2.5,38,0.675313,1,21.3137,0.974359,0.837838,0.602693,1.65468,1.02999,5,4,2.51303,8.06226,-2.5389,4,2.4,-58.0526,111.474,155.895,195.841,71.5278,-0.0402027,0.0771978,0.10796,0.185158,0.00741134,40.313,20.9945,-85.3795,-54.4488,0.000734674,0.000382608,-0.00155598,-0.000992287,14008.1,-2.85E+07,-643631,7.27E+10,0.00671805,-4.54E-09,-5.63E-06,3.05E-07,0.13,7.4,3.9,0,4.3,4.3,4.3,4.3,4.3,3.1,7.8,
4818,72.3604,112.439,6.35501,9.29529,6.04369,2.72499,5.02559,3.36179,5.11114,3,51,0.656623,1,25.3137,0.944444,0.74,-0.0639818,1.49491,1.04073,7,5,2.97128,9.21954,3.07761,4.5,3,11.3529,144.824,321.294,322.021,144.096,0.00436484,0.0556799,0.123527,0.179207,0.00467945,78.7232,112.73,-156.519,-34.5675,0.000593461,0.000849825,-0.00117993,-0.00026059,46402.1,-9.99E+08,-6.83E+06,2.54E+12,0.00685893,-8.39E-09,-7.61E-06,4.18E-07,0.15,8.5,3,0,5.9,5.8,5.8,5.833333333,4.75,4.75,9.1,
4819,57.6315,96.9834,6.58241,9.57023,4.91928,2.97405,4.87077,2.9188,4.97214,2.5,44,0.657459,1,23.3137,0.977778,0.761905,0.490266,1.66876,1.01508,5,5,2.72256,8.94427,-2.65133,4.24264,2.82843,-69.4773,130.795,223.886,260.968,93.7133,-0.035887,0.0675596,0.115644,0.183203,0.0074636,57.6167,3.4845,-95.718,-39.9824,0.00067638,4.09E-05,-0.00112366,-0.000469366,24456.2,-6.33E+07,-1.25E+06,2.44E+11,0.00652497,-2.33E-09,-3.90E-06,2.04E-07,0.15,9.5,4.6,0,5.2,5,5,5.066666667,4.1,4,9.7,
4820,61.2397,109.517,5.69961,8.99794,5.77989,2.0342,5.27227,3.38331,5.24342,3,56,0.783785,1,25.8995,0.965517,0.867925,-0.191571,1.55832,1.00069,8,5,3.16936,9.48683,2.95002,4.5,3,42.7857,168.554,380.857,389.155,160.255,0.0136434,0.053748,0.121447,0.175195,0.0053277,17.7168,30.9184,-29.3878,-10.1881,0.000100884,0.000176057,-0.000167341,-5.80E-05,62364.2,-3.65E+06,-477776,2.38E+11,0.00634137,-1.20E-11,-2.77E-07,1.40E-08,0.15,9.2,2.3,0,5.5,5.5,5.3,5.433333333,4.7,4.1,9.1,
4821,56.6303,100.12,6.34671,10.3316,4.86719,2.7262,5.46661,2.8042,5.42443,2.5,47,0.560961,1.15711,26.1421,0.921569,0.733333,-1.22807,1.94943,1.02466,4,6,2.88703,9.84886,1.91352,4.90153,2.68794,81.8936,321.915,121.617,351.135,92.3968,0.0370727,0.145729,0.0550552,0.200784,0.0137192,-17.9027,57.3929,39.789,-146.901,-0.000172435,0.000552796,0.000383239,-0.00141492,32443.8,-1.17E+08,-1.96E+06,5.10E+11,0.00664875,-2.23E-09,-3.87E-06,2.06E-07,0.19,10.1,3.7,0,5.7,5.7,5.7,5.7,4.6,4.1,10.4,
4823,48.9714,86.9346,6.47711,6.61179,5.83045,2.81189,4.09688,3.54049,4.30789,3.5,46,0.980661,1,21.8995,1,0.767442,0.301281,1.15715,0.990623,6,5,2.78973,7.61577,-2.84031,3.5,3,-13.8478,148.457,188.717,193.02,144.153,-0.00654434,0.070159,0.0891859,0.159345,0.000533336,-14.0548,19.0397,15.448,-13.4688,-0.000144395,0.000195608,0.000158708,-0.000138374,27824.6,-1.05E+06,-170899,3.80E+10,0.00621437,-2.47E-11,-3.92E-07,1.95E-08,0.18,7,3.1,0,5.5,5.5,5.5,5.5,4.7,4.5,6.9,
4824,79.5846,112.764,6.82861,8.85816,5.90376,3.29309,4.77611,3.60783,4.97214,3.5,53,0.808962,1,25.3137,0.946429,0.784314,-1.15599,1.32382,1.0214,5,7,3.05074,8.94427,-1.15599,4,3.5,47.8679,281.17,193.547,302.249,172.468,0.0170409,0.100096,0.0689025,0.168999,0.00213461,54.3628,100.217,3.00748,-114.103,0.000365152,0.000673152,2.02E-05,-0.000766421,52128.3,-5.35E+08,-5.29E+06,2.21E+12,0.00660648,-3.06E-09,-4.50E-06,2.38E-07,0.23,8.2,3.8,0,5.6,5.6,5.6,5.6,4.6,3.5,7.6,
4825,63.4983,94.9568,6.85941,6.97967,5.88355,3.20832,4.04681,3.25979,4.30789,3,41,0.800753,1,21.3137,0.97619,0.692308,1.20679,1.24143,1.01081,5,5,2.61226,7.61577,1.20679,3.53553,2.82843,-19.6098,160.39,116.39,167.861,108.919,-0.0116655,0.0954136,0.0692387,0.164652,0.00122946,15.8513,32.4854,-10.3438,-60.2463,0.000229992,0.000471343,-0.000150083,-0.000874135,18283.3,-1.08E+07,-450471,6.63E+10,0.00647023,-8.02E-10,-2.31E-06,1.21E-07,0.15,7.2,4.8,0,5.3,5.3,5.2,5.266666667,4.75,4.75,6.7,
4826,35.0142,65.6948,6.55911,7.00236,4.23838,2.96466,3.95986,2.50267,4.14005,2.5,31,0.7017,1,18.7279,0.96875,0.758621,-1.06493,1.58225,1.00432,4,4,2.16849,7.28011,2.07666,3.18198,2.12132,30.9355,104.387,65.6774,121.524,48.541,0.0321909,0.108623,0.0683428,0.176966,0.00576755,15.2851,9.84495,-6.16233,-7.32362,0.000513078,0.000330467,-0.000206852,-0.000245833,5898.87,-222624,-36770.8,1.75E+09,0.00638737,-2.72E-10,-1.34E-06,6.87E-08,0.13,7.6,4.4,0,4.8,4.9,4.8,4.833333333,3.9,3.5,7.1,
4827,31.7635,64.8519,5.53401,6.08146,5.24958,1.88743,3.43085,3.02702,3.66228,2.5,32,0.89662,1,18.7279,0.969697,0.709677,-0.367799,1.13341,1.01957,5,4,2.50955,6.32456,2.77379,2.82843,2.47487,7,76,91.4688,94.1661,73.3027,0.00683594,0.0742188,0.089325,0.163544,0.000415117,12.375,-20.0625,-23.3613,18,0.000377655,-0.000612259,-0.000712931,0.000549316,6902.63,-1.39E+06,-98395.2,5.44E+09,0.00658286,-1.24E-09,-2.86E-06,1.51E-07,0.11,6.3,2.2,0,5,5.1,5.1,5.066666667,4.75,4.75,5.8,
4828,34.3473,72.0154,5.78321,7.00394,5.40052,2.16395,4.35939,3.06509,4.53113,3,42,0.782239,1,21.8995,0.954545,0.775,-0.553996,1.42227,0.999471,5,5,2.61614,8.06226,-0.553996,3.5,3,45.1429,126.571,171.619,199.545,98.6453,0.0255912,0.0717525,0.0972897,0.169042,0.00327178,-18.7483,6.78912,30.8481,-19.4694,-0.000253054,9.16E-05,0.000416371,-0.000262787,19684.2,-984094,-140678,2.23E+10,0.00632587,-5.76E-11,-6.10E-07,3.10E-08,0.11,7.6,2.1,0,5.5,5.4,5.4,5.433333333,3.7,3.6,7.5,
4829,51.5562,84.4252,6.50491,6.42742,5.29282,2.85407,3.6725,3.08177,3.8541,3,36,0.972629,1,19.0711,1,0.787879,1.27358,1.19169,0.987664,5,5,2.33195,6.7082,1.27358,3,2.5,-10.0556,118.306,88.5556,121.385,85.4756,-0.00775892,0.0912852,0.0683299,0.159615,0.000767746,13.071,9.12346,-10.5679,-14.3904,0.000280157,0.000195547,-0.000226507,-0.000308437,10375.5,-266463,-52615.6,4.37E+09,0.0061773,-7.29E-11,-6.71E-07,3.32E-08,0.16,6.6,3.3,0,5.5,5.6,5.5,5.533333333,4.75,4.75,6.5,
4830,45.9097,86.9935,6.10101,8.56894,4.81523,2.50023,4.52171,3.05171,4.54775,2.5,43,0.800654,1,22.7279,0.934783,0.804878,-0.565394,1.4817,1.00816,5,5,2.67427,8.06226,-0.565394,4.02492,2.68328,54.1395,134.465,185.442,219.793,100.114,0.0292804,0.0727232,0.100293,0.173016,0.00418948,29.5587,12.7885,-35.3867,10.0173,0.000371775,0.000160848,-0.000445076,0.000125993,22004.4,-3.07E+06,-261250,4.61E+10,0.00643628,-1.42E-10,-9.61E-07,4.96E-08,0.13,8.8,2.7,0,4.5,4.4,4.6,4.5,4.2,2.9,8.3,
4831,42.8519,82.5953,6.31621,8.80263,4.79123,2.6992,4.9622,2.80799,5.24342,2.5,44,0.600392,1,23.3137,0.977778,0.707317,1.21733,1.76717,0.994873,5,5,2.73544,9.48683,-1.92427,4.5,2.5,-59.7955,248.795,108.795,270.858,86.733,-0.0308861,0.12851,0.056196,0.184706,0.00904512,-9.3812,23.8357,-6.51756,-36.8461,-0.000110129,0.000279815,-7.65E-05,-0.000432547,23492.3,-1.74E+06,-203534,3.84E+10,0.0062678,-6.41E-11,-6.37E-07,3.20E-08,0.18,8.1,3.6,0,5,5.2,5.1,5.1,4.6,3.6,9.3,
4832,40.7944,85.0467,5.56431,8.29207,5.62894,1.93285,4.35477,3.1975,4.53113,3,44,0.851251,1,21.8995,0.977778,0.756098,-0.636522,1.36193,0.994199,5,5,2.72141,8.06226,2.50507,3.5,3,45.9545,146.432,174.636,208.604,112.464,0.0237369,0.0756363,0.0902047,0.165841,0.00246599,20.5806,-7.71901,-28.6612,14.9845,0.000241601,-9.06E-05,-0.000336462,0.000175907,23460.5,-1.33E+06,-176832,3.32E+10,0.00625931,-4.88E-11,-5.54E-07,2.78E-08,0.13,9.3,2.1,0,5.7,5.7,5.7,5.7,3.7,3.5,9.1,
4833,63.088,92.4875,7.01011,6.88711,5.54684,3.38799,4.10523,3.25237,4.30789,3,42,0.889889,1,21.3137,1,0.775,-0.978235,1.26223,0.998708,5,5,2.62911,7.61577,-0.978235,3.53553,2.82843,30.5238,156.405,131.619,176.956,111.068,0.0173037,0.0886648,0.074614,0.163279,0.00139511,22.3311,-7.9161,-24.5805,17.1519,0.000301413,-0.000106847,-0.000331774,0.000231507,19654.1,-1.49E+06,-171686,2.70E+10,0.00631622,-8.74E-11,-7.45E-07,3.77E-08,0.17,7.4,3.5,0,4.8,4.8,4.9,4.833333333,4.3,3.4,7.5,
4834,49.4074,89.177,5.91501,6.56356,6.53724,2.3251,4.29582,3.63585,4.53113,3.5,49,0.899132,1,23.3137,0.98,0.76087,-0.816608,1.18152,1.0014,6,5,2.91938,8.06226,-0.816608,3.5,3.5,32,196,192,226.062,161.938,0.0133278,0.0816327,0.0799667,0.161599,0.000713294,42.8571,19.4286,-44.5714,-0.857143,0.00036428,0.00016514,-0.000378851,-7.29E-06,36608,-1.63E+07,-778812,2.29E+11,0.00635026,-2.05E-10,-1.15E-06,5.86E-08,0.15,7,2.4,0,6.6,6.4,6.5,6.5,4.7,4.2,7.4,
4835,49.2861,80.979,6.47121,5.81119,5.72297,2.86034,3.56622,3.4917,3.94819,3,39,1,1,20.4853,0.975,0.810811,-0.141897,1.02134,1.00307,5,6,2.46655,6.7082,-0.141897,3,3,0.717949,118.974,123.897,124,118.872,0.000472024,0.0782211,0.0814579,0.159679,1.14E-05,11.8435,27.5608,-6.9336,-31.9303,0.000199658,0.00046462,-0.000116887,-0.000538281,14740.1,-3.42E+06,-226479,2.68E+10,0.00637151,-4.21E-10,-1.65E-06,8.44E-08,0.13,6.5,3.6,0,5.4,5.4,5.3,5.366666667,4.7,2.6,4.8,
4836,28.2792,65.7542,5.23251,6.99291,4.80425,1.56791,3.9984,2.92111,4.14005,2.5,37,0.867733,1,19.8995,0.973684,0.8,-0.216396,1.36879,0.991705,5,5,2.40125,7.28011,-0.216396,3.5,2.5,14.4595,82.1081,144.703,147.881,78.9294,0.0105621,0.0599767,0.1057,0.165676,0.00253681,1.08035,-10.5909,-2.2615,8.84879,2.13E-05,-0.000209088,-4.46E-05,0.000174694,11672.2,-43425.8,-23016.6,2.17E+09,0.00622795,-9.03E-12,-2.42E-07,1.22E-08,0.12,7,1.8,0,5.4,5.3,5.2,5.3,3.8,2.6,7.7,
