,feature,importance_gain,importance_split,trn_score
97,FLAG_DOCUMENT_5,205.9806022644043,7,0.7573115391219858
98,FLAG_DOCUMENT_6,134.762300491333,6,0.7573115391219858
99,FLAG_DOCUMENT_7,0.0,0,0.7573115391219858
100,FLAG_DOCUMENT_8,603.3237981796265,23,0.7573115391219858
101,FLAG_DOCUMENT_9,0.0,0,0.7573115391219858
102,FLAG_DOCUMENT_10,0.0,0,0.7573115391219858
103,FLAG_DOCUMENT_11,0.0,0,0.7573115391219858
104,FLAG_DOCUMENT_12,0.0,0,0.7573115391219858
105,FLAG_DOCUMENT_13,0.0,0,0.7573115391219858
106,FLAG_DOCUMENT_14,0.0,0,0.7573115391219858
107,FLAG_DOCUMENT_15,0.0,0,0.7573115391219858
108,FLAG_DOCUMENT_16,73.43510055541992,2,0.7573115391219858
109,FLAG_DOCUMENT_17,0.0,0,0.7573115391219858
110,FLAG_DOCUMENT_18,0.0,0,0.7573115391219858
111,FLAG_DOCUMENT_19,0.0,0,0.7573115391219858
112,FLAG_DOCUMENT_20,0.0,0,0.7573115391219858
113,FLAG_DOCUMENT_21,0.0,0,0.7573115391219858
114,AMT_REQ_CREDIT_BUREAU_HOUR,535.3959999084473,17,0.7573115391219858
115,AMT_REQ_CREDIT_BUREAU_DAY,277.32750129699707,13,0.7573115391219858
116,AMT_REQ_CREDIT_BUREAU_WEEK,549.726900100708,21,0.7573115391219858
117,AMT_REQ_CREDIT_BUREAU_MON,1347.9512457847595,57,0.7573115391219858
118,AMT_REQ_CREDIT_BUREAU_QRT,1453.0506944656372,61,0.7573115391219858
119,AMT_REQ_CREDIT_BUREAU_YEAR,7822.355103492737,327,0.7573115391219858
